年(月)別,半導體設備,col_2,船舶,col_4,積體電路(IC),col_6,原油,col_8,陰極(型)精煉銅,col_10,黃金,col_12,小客車,col_14,手機,col_16,source_table,processing_date
104,13296.809,-3.240095284078485,235.223,-33.266473937602306,32581.452,-6.764204475702512,16102.277,-49.94191285130834,2570.869,-20.60783956469509,2544.38,10.644700479867106,4224.486,8.512053238766095,3314.768,15.363650632839143,table05,2025-10-11
105,17520.165,31.762176925305912,470.288,99.93282969777614,36316.696,11.464326390364677,12931.73,-19.690053773140285,2509.571,-2.3843299678046606,1589.852,-37.51515103875994,4430.047,4.865941087270735,2753.864,-16.921365235817408,table05,2025-10-11
106,16015.9,-8.585906582500792,214.808,-54.324158813322896,43564.462,19.957118345787844,16813.65,30.018566734690566,3401.354,35.53527674650368,1471.923,-7.417608683072387,4987.655,12.586954495065175,3298.823,19.788885725656748,table05,2025-10-11
107,15491.165,-3.276337889222585,302.507,40.826691743324275,50811.038,16.634145510622854,23307.433,38.62208979014075,3007.851,-11.569010458776123,1579.397,7.301604771445246,5568.727,11.650204354551388,2917.593,-11.556546077191774,table05,2025-10-11
108,23637.465,52.58674864027334,351.034,16.04161226021216,53687.413,5.660925486308703,21366.503,-8.327515089285036,2756.654,-8.351377777689121,1251.13,-20.784324650483697,5513.149,-0.9980377921201741,2908.757,-0.30285238551093313,table05,2025-10-11
109,23318.932,-1.3475768234876286,420.25,19.71774813835697,62291.833,16.02688510992325,12504.867,-41.47443313489344,2562.277,-7.051193221927743,1976.813,58.00220600577079,6044.993,9.646827974357304,2873.555,-1.2102076591478765,table05,2025-10-11
110,32078.268,37.56319543279255,585.998,39.44033313503867,81398.478,30.67279301284969,19903.956,59.16967369584979,3785.602,47.74366705863574,2224.781,12.543826856662719,6193.59,2.458183160840716,3402.942,18.422720288980027,table05,2025-10-11
111,36322.08,13.229554662988663,616.725,5.243533254379708,88065.183,8.190208421341735,30927.661,55.38449240944865,3705.062,-2.1275348015982662,1980.061,-10.999734355875928,6509.849,5.106230796678501,3190.662,-6.2381315931920085,table05,2025-10-11
112,24251.065,-33.23327023122024,482.534,-21.75864445255179,73161.576,-16.92338162744748,25094.09,-18.861985715634948,3157.575,-14.776729782119705,1708.407,-13.719476319163903,7938.322,21.943258591712343,3276.865,2.7017277292298587,table05,2025-10-11
113,23697.743,-2.281640002201965,539.441,11.793365856084753,94337.424,28.943947298237532,23896.353,-4.772984395927487,4811.973,52.39457495071376,2684.129,57.112971323578044,8169.935,2.917656905325836,3244.326,-0.9929917772016852,table05,2025-10-11
114年1-8月,26858.202,87.94964767578685,365.284,-17.15619904248057,82514.217,41.044735784114636,15058.076,-11.08177235135384,2698.53,-26.909632220183603,2549.948,58.809761954882156,4430.558,-22.146346434997753,1487.333,2.037829927917186,table05,2025-10-11
