year_month,electronic_components_export_value_usd_million,col_2,col_3,ict_products_export_value_usd_million,col_5,化學品,col_7,塑橡膠及其製品,col_9,機　械,col_11,基本金屬及其製品,col_13,source_table,processing_date
104,44588.387,39.6741747086076,-8.197443374107923,9643.045,1.7077820276237172,8810.056,-22.10166772991467,8412.484,-18.490340372390122,5792.969,-14.56265446241806,5474.447,-10.505727231174552,table11,2025-10-11
105,51916.792,46.36001438142217,16.435680887043524,9702.491,0.6164650273850221,8198.073,-6.946414415526984,7726.893,-8.149685633874608,5534.559,-4.460752336150945,5163.727,-5.675824425736517,table11,2025-10-11
106,60709.716,46.73192123755451,16.936570348953765,10908.1,12.425767774481832,9265.819,13.024353405977235,9261.109,19.85553572438495,8023.357,44.96831635546752,6513.027,26.13035119788478,table11,2025-10-11
107,65316.287,47.36537598977291,7.58786451908291,11977.362,9.802458723334036,10644.875,14.88326072417344,10005.978,8.042978438111462,8297.981,3.4228066880234795,6699.883,2.868957859379364,table11,2025-10-11
108,67387.209,51.00664639057776,3.170605824547253,12005.965,0.2388088462217306,8266.104,-22.34663159501638,8499.326,-15.057518615371732,6876.033,-17.136072015590297,5568.602,-16.88508590373892,table11,2025-10-11
109,83859.481,55.39617361080651,24.44421166040576,14598.719,21.595548546076888,7130.876,-13.733531540372587,8257.558,-2.844554968241011,6852.794,-0.3379710364973525,5959.116,7.012783459834264,table11,2025-10-11
110,104319.386,55.23209978499963,24.397843578354607,19362.663,32.6326166014977,9680.921,35.76061342253041,11005.229,33.274619445603655,8892.389,29.762969673391616,7597.692,27.49696431484133,table11,2025-10-11
111,116007.169,62.41132906944681,11.203845659137603,16143.054,-16.627924578349578,8823.263,-8.859260394749633,8293.721,-24.638360546609253,7691.329,-13.50660660481677,6112.798,-19.544014155877864,table11,2025-10-11
112,96994.772,63.712279386230605,-16.388984546291272,14851.942,-7.997941405634894,6973.39,-20.965860362543882,5869.729,-29.2268331669223,5811.983,-24.434606815025077,4473.905,-26.810848321832324,table11,2025-10-11
113,91627.178,60.836813669658284,-5.533900321967868,21734.769,46.342942895952596,6341.286,-9.06451525011508,5595.204,-4.6769620880282545,5722.298,-1.543104995317433,4874.815,8.961075391632143,table11,2025-10-11
114年1-8月,70924.211,65.22989371809868,23.755661153806102,13328.251,1.9921848276626246,4235.871,-0.5558804464979743,3290.222,-12.830371134758067,3847.566,1.3320558295153948,3557.316,18.0986642126105,table11,2025-10-11
