year_month,total_export_value_usd_million,col_2,china_hk_export_value_usd_million,col_4,col_5,us_export_value_usd_million,col_7,col_8,asean_export_value_usd_million,col_10,col_11,japan_export_value_usd_million,col_13,south_korea_export_value_usd_million,col_15,europe_export_value_usd_million,col_17,source_table,processing_date
104,284433.978,-10.951109063801775,112386.426,39.51230678916989,-12.526875160743497,34448.479,12.111239044724819,-1.6692699532921254,51590.504,18.137953968354655,-14.148165838163235,19556.522,-2.8447071526215955,12772.06,-0.6631087447630991,25869.495,-11.011562358910412,table08,2025-10-11
105,279174.656,-1.849048428384319,111986.143,40.11329130105564,-0.35616667799365737,33396.311,11.962515322307766,-3.0543235305105925,51248.028,18.356977217874675,-0.6638353445820184,19470.701,-0.4388356989039258,12531.227,-1.8856237756477812,26123.541,0.9820292201297318,table08,2025-10-11
106,315486.658,13.006912060097603,129910.593,41.17784055387851,16.0059535223032,36772.593,11.65583141712446,10.1097453548088,58518.29,18.54857836809061,14.186422939044602,20573.772,5.6652865246094635,14415.736,15.03850341231549,28778.05,10.161367480771462,table08,2025-10-11
107,334007.338,5.870511329198587,137898.804,41.2861600064607,6.149006647979815,39490.38,11.823207309295702,7.390795095684441,58125.725,17.402529342034995,-0.6708415437293195,22800.957,10.825360561009425,15738.931,9.178823752044293,31277.632,8.685724015351978,table08,2025-10-11
108,329157.32,-1.4520692955554169,132114.565,40.13721007328654,-4.194553420492319,46247.108,14.050153282327127,17.109807502485417,53934.743,16.38570365076493,-7.210201679204861,23278.741,2.095455905644662,16917.052,7.4853940207247875,29770.314,-4.819156386263512,table08,2025-10-11
109,345125.944,4.8513652985144,151381.36,43.862642792220804,14.583399642575367,50549.921,14.646804124351775,9.303961233640814,53215.33,15.419104511018736,-1.3338582145464195,23398.254,0.513399758174207,15140.525,-10.501398234160419,28143.108,-5.4658677768732975,table08,2025-10-11
110,446371.191,29.3357392453811,188874.561,42.31334028902417,24.767382853476807,65685.966,14.715547805144979,29.94276687395812,70241.749,15.736174380483261,31.995327286328955,29206.218,24.822211093186695,20140.178,33.02166206257709,38484.236,36.744797340791216,table08,2025-10-11
111,479415.23,7.4028162359608904,185875.178,38.771229274464226,-1.5880291046712216,75052.059,15.654917554454832,14.258895119240538,80609.434,16.814116230725503,14.760004053999282,33608.899,15.074464622567701,22178.146,10.118917519001073,41099.083,6.79459246638026,table08,2025-10-11
112,432419.962,-9.802623083125665,152238.741,35.20622412894065,-18.09625005443169,76234.038,17.629629688557255,1.5748788450960418,76274.869,17.63907212960719,-5.3772428175094245,31434.886,-6.46856357894973,18203.299,-17.922359244997306,42283.483,2.8818161222721197,table08,2025-10-11
113,474995.711,9.845925891830127,150611.402,31.70794988504644,-1.0689388189304587,111361.639,23.444767272856488,46.078630912873855,87767.814,18.4776013693311,15.067800378654205,25835.968,-17.81116050492437,20792.356,14.223009796191338,38635.424,-8.62762180684122,table08,2025-10-11
114年1-8月,398434.345,29.15262506857562,108729.613,27.28921699759593,14.524183974629617,117173.944,29.408595285629808,55.32406240155871,77828.707,19.533634079662484,38.21272860397497,19250.373,13.312854614536857,16354.188,25.804223524011643,24593.635,-6.70589851739308,table08,2025-10-11
