年(月)別,合　計,col_2,中國大陸與香港,col_4,col_5,美　國,col_7,col_8,東　協,col_10,col_11,日　本,col_13,南　韓,col_15,歐　洲,col_17,source_table,processing_date
104,236380.483,-15.90744558573068,46732.159,19.76988895483389,-8.347395530026766,28362.487,11.998658535611842,-3.323577574304706,29031.135,12.281527912776115,-16.348931817910703,38865.379,-7.416474347002482,13452.681,-11.993733632542982,28491.244,-11.06439811393586,table09,2025-10-11
105,229199.459,-3.037909013833431,45321.317,19.773745190210068,-3.0189959766250043,27086.971,11.818078069721796,-4.497193775708033,27179.195,11.858315511992549,-6.379151211277135,40620.288,4.515352854271664,14649.503,8.89653147948725,28892.424,1.4080817250380504,table09,2025-10-11
106,257199.59,12.216490877493738,51548.819,20.04234104727772,13.740778980451958,28395.694,11.0403340845139,4.831559054720441,30999.845,12.05283608733591,14.057259606106804,41938.924,3.246249755787059,16892.551,15.311427288693686,31315.299,8.38584883012931,table09,2025-10-11
107,284791.673,10.727887629991944,55199.064,19.382260519955583,7.081141858943461,33104.9,11.62425138743435,16.584225763244245,34548.646,12.131199496131336,11.447802400302324,44151.3,5.275233098493419,19524.872,15.582732294252063,34580.412,10.426574563442616,table09,2025-10-11
108,285651.45,0.30189681845086813,58456.578,20.46430291181788,5.901393545368813,34849.797,12.200112059644717,5.270811873770953,34965.356,12.240566606610958,1.2061543598553761,44051.896,-0.22514399349509526,17740.668,-9.138108562248192,36530.492,5.63926190353082,table09,2025-10-11
109,286147.643,0.17370575223756085,64808.491,22.648619544980843,10.866036325287464,32513.548,11.362507710748467,-6.703766452355518,35901.138,12.546368589169193,2.676311947174226,45900.765,4.197024800022228,20610.395,16.175980521139337,36796.875,0.7292072606084802,table09,2025-10-11
110,381957.539,33.48267873029449,84193.803,22.0427127110587,29.91168549195197,39258.764,10.278305830219521,20.745862617023526,47232.839,12.365992074317978,31.563626200372813,56116.546,22.256232548629637,30639.558,48.66070252413891,47331.006,28.627787006369427,table09,2025-10-11
111,428082.522,12.075945174628428,85507.962,19.974644514919017,1.5608737854495063,45690.982,10.673405161820645,16.384158197135296,53937.46,12.599780936629784,14.194829576092177,54626.029,-2.656109661489144,34261.45,11.820966869039037,51071.726,7.903318175827491,table09,2025-10-11
112,351631.64,-17.858912258977956,71717.904,20.395748232440063,-16.127220994929104,40881.729,11.626294209474437,-10.52560656280051,41031.416,11.66886347315048,-23.92779341110983,44344.434,-18.821787320473177,28414.772,-17.06488779663441,46606.144,-8.743746001456854,table09,2025-10-11
113,394365.297,12.152961263667853,80626.376,20.444592009828895,12.421545392626086,46455.272,11.779756574270783,13.633334832780678,49268.632,12.493145916944107,20.075388087995794,46452.714,4.754328356068317,43706.635,53.816595818541145,46002.248,-1.2957433251718915,table09,2025-10-11
114年1-8月,311543.916,21.680094063303066,59633.018,19.141127442206255,15.290487939249415,31808.024,10.209804257580174,-4.067683383179918,40135.395,12.882740743362808,24.258927483407952,35609.523,19.24227401176767,39920.237,55.214966397636765,33089.69,10.42444933007038,table09,2025-10-11
