年(月)別,合　計,col_2,電子零組件,col_4,col_5,礦產品,col_7,機　械,col_9,資通與視聽產品,col_11,化學品,col_13,基本金屬及其製品,col_15,運輸工具,col_17,電機產品,col_19,精密儀器,col_21,塑膠、橡膠及其製品,col_23,source_table,processing_date
104,236380.483,-15.90744558573068,38319.822,16.21107695257565,-6.263663779507239,41585.138,-40.70692115111773,23153.696,-1.3270606396940614,13328.299,-7.38448335765409,25632.342,-15.517380092855154,19230.9,-17.621305945762742,11832.264,8.861758495871728,7363.112,-7.699763417646639,7131.753,-6.3232055911693825,7981.946,-12.985189612790196,table03,2025-10-11
105,229199.459,-3.037909013833431,41994.866,18.322410612670776,9.590451646669965,35191.259,-15.37539444981522,27084.357,16.976386836900684,13097.843,-1.729072854683107,24993.606,-2.4919143166863176,16845.699,-12.402960859866152,11312.389,-4.393706901739177,7081.024,-3.831097503338263,7740.694,8.538447700025506,7566.435,-5.205635317502774,table03,2025-10-11
106,257199.59,12.216490877493738,49468.883,19.233655465780487,17.797454098317637,44024.497,25.10065922904321,26051.518,-3.8134152492525484,15638.522,19.397690138750328,27856.863,11.455957975811893,20476.613,21.553952732979496,11766.966,4.018399650153473,7629.274,7.742524245080938,7975.5,3.0333972638629043,8380.945,10.764778921645398,table03,2025-10-11
107,284791.673,10.727887629991944,57089.076,20.045907732702563,15.404012659837093,54917.964,24.744103265961222,26376.992,1.24934754281881,15559.757,-0.503660128495519,30365.196,9.00436276690595,22450.981,9.642063362725075,12049.478,2.4008907648751596,8409.97,10.232900273341867,8968.704,12.453187887906713,8958.264,6.888471407460614,table03,2025-10-11
108,285651.45,0.30189681845086813,59513.322,20.834244671259327,4.246427109802934,48570.099,-11.558813433069004,34319.456,30.11133339237469,17227.189,10.716311315144575,27438.676,-9.637744475616097,19977.084,-11.01910424315089,12020.901,-0.23716380078871468,9199.243,9.384968079553197,9715.69,8.328806480847177,8548.538,-4.573720979868421,table03,2025-10-11
109,286147.643,0.17370575223756085,69537.151,24.301144077569774,16.843000294959168,33787.662,-30.43526223819309,33327.394,-2.890669362591295,20890.069,21.262203601527794,26497.165,-3.431328100524967,19568.605,-2.0447378606407223,11777.422,-2.025463815066774,10569.86,14.899236817638148,11124.167,14.496932281701042,8919.649,4.341221855713807,table03,2025-10-11
110,381957.539,33.48267873029449,91301.289,23.903517977164473,31.298575922387155,57367.407,69.78803386869443,44414.692,33.26782166046346,26478.601,26.752099286986557,33648.721,26.989891182698223,29127.533,48.848285301890456,13442.802,14.140446016114563,14099.971,33.397897417751985,13582.475,22.098805240877812,11106.471,24.516906438807176,table03,2025-10-11
111,428082.522,12.075945174628428,98450.901,22.99811273303982,7.830789771215607,83932.002,46.30607585244353,49342.851,11.095785601755383,28041.311,5.901784614678094,36024.237,7.059751245820012,28127.002,-3.4350008289407827,14641.775,8.919070592574375,14429.816,2.33933105252486,14276.775,5.1117340543604906,10655.403,-4.061308042851775,table03,2025-10-11
112,351631.64,-17.858912258977956,81406.178,23.15098209023511,-17.312917227644263,61540.693,-26.677916011106227,37642.039,-23.713287260195,23905.278,-14.749784701578324,28686.947,-20.367648591696753,22674.479,-19.3853685508324,15743.202,7.522496418637768,12551.501,-13.016901948022067,11632.471,-18.52171796501661,8597.686,-19.31148920411551,table03,2025-10-11
113,394365.297,12.152961263667853,104297.941,26.44703826462702,28.12042471764244,58260.164,-5.3306663283756,35681.91,-5.20728699101555,33523.117,40.233119229987615,29454.801,2.6766668478175806,26435.988,16.589174992730815,16162.159,2.661193066061148,13759.012,9.620450972357808,13592.76,16.851870939545,9351.405,8.76653322766149,table03,2025-10-11
114年1-8月,311543.916,21.680094063303066,91335.043,29.31690792510934,40.828221583014546,35328.476,-10.739664070038101,32753.452,43.54117453301883,40326.652,97.64553405801537,19017.266,-3.0024199835988297,17392.26,-3.7819352398815704,9533.978,-14.448830789016187,11854.45,35.95149878716003,13276.785,64.10929556949641,6637.988,7.949666547463218,table03,2025-10-11
