年(月)別,新 臺 幣,col_2,歐　元,col_4,日　圓,col_6,人民幣,col_8,韓　元,col_10,馬來西亞幣,col_12,菲律賓披索,col_14,新加坡元,col_16,source_table,processing_date
104,31.898324812952712,-4.798278980307269,0.9012964233670961,-16.483836236636385,121.044025684011,-12.474175874985383,6.22748867298455,-1.3497347471785326,1130.9525,-6.906788746653836,3.90550026302768,-16.19870628575416,45.5028399421431,-2.4343219881260647,1.374825,-7.839179531940421,table16,2025-10-11
105,32.317929093237105,-1.2983637629559563,0.903421436257263,-0.23521833829530658,108.792900046834,11.260960625098736,6.6444778294468,-6.275725003013177,1160.7675,-2.5685591645182915,4.14830066287878,-5.853008727737807,47.4924638585099,-4.189346592533738,1.38154636363636,-0.48651017535661367,table16,2025-10-11
106,30.439084872741713,6.172472754520619,0.8852055082693722,2.057819095986435,112.166141081871,-3.0073612255010596,6.75875508633597,-1.6908033421746849,1131.00083333333,2.631887244409925,4.30044087761124,-3.537781801036377,50.4037197937177,-5.775875167790012,1.380925,0.04499618997122479,table16,2025-10-11
107,30.155533857098575,0.940295127875479,0.8467726671081099,4.538743709396953,110.42317934106,1.578438287334194,6.61595717735439,2.158386234275511,1100.16333333333,2.8029928889346856,4.03513013706806,6.57502314748033,52.6614299539682,-4.287217726947379,1.34884166666666,2.37858409375995,table16,2025-10-11
108,30.92523102703026,-2.488897073263352,0.893276257067408,-5.2059583573806805,109.009665900863,1.29668633374449,6.90838500992901,-4.232940580965461,1165.3575,-5.594349087440554,4.14246973569731,-2.5911981372914505,51.7957826517332,1.6712698561878625,1.36415833333333,-1.1227924422265279,table16,2025-10-11
109,29.57833241924879,4.553666476832685,0.875506396987998,2.0296665039277295,106.774582262437,2.093273128367268,6.90076726944924,0.11038976076609419,1180.26583333333,-1.2631335172370028,4.20348194851883,-1.4514684152032165,49.6240960026328,4.376274479610043,1.37974166666666,-1.1294384818411718,table16,2025-10-11
110,28.02233607781145,5.552700307057568,0.8454941388904499,3.549670744842004,109.754323839417,-2.714919533684801,6.44897518024316,7.00564161868964,1143.95166666666,3.1744493867022605,4.1432975981772,1.4525712651707101,49.2545977288412,0.7501802691106674,1.34348333333333,2.698830155441456,table16,2025-10-11
111,29.776977939169733,-5.892612289073707,0.94962375315694,-10.965354849256926,131.498140443763,-16.535455582084857,6.73715811237118,-4.277514752085764,1291.44666666666,-11.42091298130784,4.40107634540072,-5.857175086110655,54.4777858372049,-9.58773934750592,1.37866666666666,-2.5519825918759786,table16,2025-10-11
112,31.15024942663111,-4.408540903326874,0.924839558470697,2.679837217087244,140.49110006234,-6.401088477908257,7.0839984234363,-4.896109376840807,1305.6625,-1.08878315286991,4.56062343240897,-3.498361339690237,55.630363223193,-2.0718494706998047,1.34276666666666,2.6735843904376777,table16,2025-10-11
113,32.10811639929239,-2.983254952577641,0.923889546117606,0.10282748160568289,151.366291302751,-7.184685009332292,7.19749110789916,-1.5768367443803277,1363.375,-4.233061336756217,4.5764279106858,-0.34534529080918475,57.2906550699734,-2.89801512088238,1.33623333333333,0.488936562975284,table16,2025-10-11
114年1-8月,31.30269626218373,2.3458090605409154,0.9008749133100864,2.3959372443864257,148.16193330152726,2.630095312723646,7.234685139870745,-0.29001409819828794,1415.7503287036723,-4.33107948420568,4.341051779089075,7.846551853156614,57.08924432880464,0.039833476120465505,1.3139925623883106,2.190157621529454,table16,2025-10-11
