year_month,合　計,col_2,col_3,col_4,col_5,electronic_components_export_value_usd_million,col_7,col_8,ict_products_export_value_usd_million,col_10,col_11,基本金屬及其製品,col_13,機　械,col_15,塑膠、橡膠及其製品,col_17,化學品,col_19,礦產品,col_21,電機產品,col_23,光學及精密儀器,col_25,運輸工具,col_27,紡織品,col_29,source_table,processing_date
104,284433.978,-10.951109063801775,116390.434,40.9200176499307,-3.9406764787775916,85912.392,30.204686726984498,-4.710002099959608,30478.042,10.715330922946203,-1.7036611030202782,25472.15,-12.524325937826974,20631.799,-7.2726967926072,21129.087,-13.255473095656745,18179.905,-18.05604022540927,12075.211,-43.67226967352132,11828.576,-10.917906805298003,16034.487,-22.867176732898308,11763.659,0.5582581204600443,10823.074,-6.8085197250650555,table02,2025-10-11
105,279174.656,-1.849048428384319,122978.3,44.050667693846826,5.660143856839643,92797.715,33.240021257517014,8.014353738398997,30180.585,10.810646436329808,-0.9759714879321972,24528.936,-3.702922603706401,20044.185,-2.848098704334993,19919.785,-5.723399217391647,17150.03,-5.664908590006383,10959.231,-9.241908899148843,9518.243,-19.53179317611858,14826.241,-7.535295641201369,10812.902,-8.082153690446145,9928.493,-8.26549832330445,table02,2025-10-11
106,315486.658,13.006912060097603,141304.636,44.78941737054377,14.902089230376417,107199.403,33.97906069295647,15.519442477651523,34105.233,10.810356677587297,13.003883125525897,29041.636,18.39745515255941,23835.948,18.917022567891884,22974.374,15.334447635855508,19374.896,12.97295689861767,11804.459,7.712475446498026,10447.562,9.763556152117571,16393.949,10.573873714854628,10877.158,0.5942530506611454,10074.556,1.471149750521051,table02,2025-10-11
107,334007.338,5.870511329198587,146091.474,43.73900132697084,3.387601522146803,110768.089,33.16336990177144,3.3290166737215876,35323.385,10.575631425199408,3.5717451336573482,31587.931,8.767739530927251,25569.142,7.271344945038477,25276.476,10.02030349118544,22150.866,14.327664003977105,14530.387,23.0923585739931,10793.625,3.312380438613334,16211.322,-1.1139902899539336,11246.299,3.3937265598238073,10074.969,0.004099436243145604,table02,2025-10-11
108,329157.32,-1.4520692955554169,155142.634,47.13327778947769,6.1955429377076445,112516.741,34.183271695127424,1.5786604389283994,42625.893,12.950006094350265,20.673296174757883,27841.293,-11.860979435468566,23498.2,-8.099380104346091,22580.321,-10.666657013422283,18667.5,-15.725642509868463,14035.297,-3.4072733231399823,10734.269,-0.5499171964933005,15745.888,-2.871042842773711,11260.194,0.12355175689353448,9178.338,-8.899590658790116,table02,2025-10-11
109,345125.944,4.8513652985144,184657.407,53.50435405111127,19.02428251927191,135512.25,39.26457930963313,20.437411175995578,49145.157,14.239774741478142,15.294140582579702,25485.798,-8.460436805144072,21919.297,-6.7192508362342656,21259.355,-5.850076267737736,16653.778,-10.787314852015536,7322.112,-47.83072990902865,10866.011,1.227302949087637,16734.037,6.27560033451273,10958.009,-2.68365713770118,7538.852,-17.86255855907682,table02,2025-10-11
110,446371.191,29.3357392453811,233317.562,52.269852245011926,26.35158577743919,171994.535,38.53172840628059,26.921761685751655,61323.027,13.738123838731338,24.77938975757062,36811.038,44.43745493078145,27830.021,26.965846578017533,29865.642,40.48235235735045,23407.954,40.556419090010685,12129.606,65.65720382315922,14354.775,32.10712744538911,19788.383,18.252296203241333,14581.538,33.06740302914516,9027.09,19.740910154490365,table02,2025-10-11
111,479415.23,7.4028162359608904,264812.991,55.23666634453812,13.498953413545442,200134.214,41.74548522373809,16.36079832420257,64678.777,13.491181120800022,5.472251068102036,36865.631,0.14830605972045666,28551.052,2.5908388642610083,26016.314,-12.88881719000047,23475.579,0.2888975260289729,19744.802,62.781890854492715,15863.83,10.512564634416075,16522.113,-16.505997483473006,16629.357,14.043916355051161,8848.608,-1.9771820154667785,table02,2025-10-11
112,432419.962,-9.802623083125665,262055.206,60.602014020805086,-1.041408500990044,178699.954,41.325556103721226,-10.709942878632436,83355.252,19.276457917083857,28.875739255242877,28737.426,-22.048191715476133,24211.332,-15.19986023632334,19956.573,-23.292081268699324,18417.868,-21.54456339500721,14619.322,-25.958629516771047,13122.723,-17.278973614820632,12967.242,-21.515837592927735,12439.823,-25.193601893326363,6631.686,-25.053906783982292,table02,2025-10-11
113,474995.711,9.845925891830127,309724.441,65.20573424714566,18.190531578296522,177223.581,37.31056447370742,-0.8261742473643838,132500.86,27.895169773438226,58.959221909616446,28527.056,-0.7320419024306491,24114.04,-0.4018448881705476,19585.65,-1.8586507813741369,18284.12,-0.7261861144840435,13951.46,-4.568351391398315,13296.721,1.3259290773721277,11257.461,-13.185386684385161,10876.17,-12.569736723745988,6727.718,1.4480782111818924,table02,2025-10-11
114年1-8月,398434.345,29.15262506857562,286997.512,72.03131848485602,44.872513959799214,137497.13,34.5093568678172,25.38790012513062,149500.382,37.52196161703881,69.0299713568987,19136.115,0.4018673921553433,16716.781,5.071407003578395,12316.325,-6.684914502195414,12382.72,0.17212391789534603,9281.075,-2.506715805433928,9798.02,11.669329986527451,8119.906,10.577666048859008,7054.47,-2.8224920499244766,4208.221,-6.321205668248897,table02,2025-10-11
