年(月)別,合　計,col_2,資  本  財,col_4,col_5,中  間  產  品,col_7,col_8,消    費    品,col_10,col_11,source_table,processing_date
104,284433.978,-10.951109063801775,33361.597,11.729118031039174,-2.5493744457140264,220422.63,77.495182379371,-12.332702658932677,28879.307,10.153254967309145,-9.885523785487951,table06,2025-10-11
105,279174.656,-1.849048428384319,33736.625,12.0844153560988,1.124130838220964,217061.808,77.75125833771959,-1.5247173123739608,26647.567,9.545123967126873,-7.727817014445672,table06,2025-10-11
106,315486.658,13.006912060097603,37869.895,12.003643906868481,12.251581182172194,247902.052,78.57766587390836,14.20804713835241,27874.695,8.835459216154872,4.60502829395269,table06,2025-10-11
107,334007.338,5.870511329198587,40459.485,12.113352132401355,6.838122999812912,263063.135,78.75968730962431,6.115755346793176,28647.179,8.576811267541673,2.771273371780391,table06,2025-10-11
108,329157.32,-1.4520692955554169,44118.007,13.40331942184971,9.042433436807217,253493.075,77.01274120229196,-3.637932772298179,29667.532,9.013177042515718,3.561792244883868,table06,2025-10-11
109,345125.944,4.8513652985144,46117.365,13.362474134949414,4.531841159551926,265810.232,77.01832812661571,4.858971788479823,31161.826,9.029117208296574,5.036799151341608,table06,2025-10-11
110,446371.191,29.3357392453811,56106.562,12.56948547111769,21.66038107337659,350407.286,78.5013220084806,31.826108936242907,37575.027,8.417888017329506,20.580311949627088,table06,2025-10-11
111,479415.23,7.4028162359608904,64405.25,13.434126821544655,14.79094013994299,378974.85,79.04939732515382,8.152674085663847,34109.3,7.114771885740885,-9.223485055646135,table06,2025-10-11
112,432419.962,-9.802623083125665,81653.615,18.88294301270023,26.780992232776057,319516.065,73.89022086820312,-15.689374901790975,29508.985,6.824149575222431,-13.486981556349734,table06,2025-10-11
113,474995.711,9.845925891830127,126536.002,26.639398855540403,54.96680949153323,317410.6,66.82388759506082,-0.6589543470998869,29305.659,6.169668129908651,-0.6890308155295751,table06,2025-10-11
114年1-8月,398434.345,29.15262506857562,133593.29,33.529561815259676,57.27450547574689,244383.84,61.33603768520507,20.41225813199621,19250.652,4.831574446725972,-1.052005150467047,table06,2025-10-11
