年(月)別,南向18國,col_2,col_3,東協10國,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,南亞6國,col_21,col_22,col_23,col_24,col_25,col_26,col_27,澳大利亞,col_29,紐西蘭,col_31,source_table,processing_date
104,60086.735,21.125020091657262,-13.757893468949058,51590.504,-14.148165838163235,17396.074,6.116032311723321,-15.872738763042427,7196.851,-16.993281472186982,9675.233,-4.244683926489004,5769.926,7513.737,3105.979,682.991,222.571,23.852,3.29,4780.828,-12.456812793301285,3020.959,905.687,431.363,415.836,6.825,0.158,3277.057,-10.099464968068993,438.346,-7.396124692620354,table12,2025-10-11
105,59228.744,21.21565934695734,-1.427920821459179,51248.028,-0.6638353445820184,16147.227,5.783915786395739,-7.178901400396434,7814.116,8.57687619210124,9511.294,-1.6944191421539925,5490.29,8659.12,2746.257,650.298,211.908,13.652,3.866,4606.221,-3.652233462488088,2819.155,919.869,452.345,407.207,7.44,0.205,2948.391,-10.029303731976588,426.104,-2.7927710073777336,table12,2025-10-11
106,67129.638,21.278122639341536,13.339627799637285,58518.29,14.186422939044602,17619.613,5.584899568082527,9.118506849504254,10368.478,32.689071930849245,10456.687,9.939688542904888,6381.47,9592.794,3193.161,649.401,238.024,11.922,6.74,5211.87,13.148500690696343,3281.316,995.186,518.095,407.592,9.545,0.136,2931.443,-0.574821996132806,468.035,9.840555357377543,table12,2025-10-11
107,68077.774,20.382119269487426,1.4123955204406136,58125.725,-0.6708415437293195,17324.072,5.186733951336123,-1.6773410403508864,10601.675,2.249095768925777,10770.602,3.0020502669727036,6167.705,8942.334,3329.164,700.265,271.166,12.816,5.926,6072.655,16.51585707241355,3771.08,1140.82,729.761,405.213,24.9,0.881,3395.405,15.82708584134162,483.989,3.408719433375709,table12,2025-10-11
108,63111.649,19.17370362597435,-7.294781700706018,53934.743,-7.210201679204861,18183.98,5.524403953708214,4.963659813928273,9399.84,-11.336274692442467,10771.752,0.010677211914431524,5517.71,6156.565,2921.604,719.191,242.112,11.877,10.112,5460.737,-10.076613935749684,3281.844,1167.746,626.354,373.99,10.716,0.087,3236.588,-4.67740961682038,479.581,-0.9107645008460936,table12,2025-10-11
109,61073.118,17.695893067952028,-3.2300391960919925,53215.33,-1.3338582145464195,19083.955,5.529562564557592,4.949274031317676,9458.244,0.6213297247612725,10521.227,-2.325759078003281,5289.108,5646.009,2276.826,669.935,206.382,57.639,6.005,4194.979,-23.17925217786537,2595.109,842.735,440.435,306.937,9.646,0.117,3229.14,-0.23011887827551733,433.669,-9.57335674265661,table12,2025-10-11
110,82575.471,18.499283256835454,35.20755727585417,70241.749,31.995327286328955,25718.674,5.761723542772276,34.76595391259307,13327.838,40.91239346331095,13966.601,32.746883989861644,7023.744,6073.164,3069.876,856.909,171.984,24.337,8.622,6883.225,64.08246620543274,4522.447,1220.657,728.17,401.338,10.509,0.104,4808.452,48.9081303381086,642.045,48.04954931064936,table12,2025-10-11
111,96865.429,20.204912764244057,17.305330295966463,80609.434,14.760004053999282,29522.66,6.158056347104368,14.790754764417482,17013.703,27.655385667202736,14574.219,4.350507328160946,7549.522,7639.749,3214.73,868.3,191.617,28.946,5.988,7998.896,16.208550497768126,5318.569,1794.092,537.283,339.844,9.1,0.008,7538.248,56.77078610746244,718.851,11.962712893956033,table12,2025-10-11
112,90158.515,20.849757856460847,-6.923950132921003,76274.869,-5.3772428175094245,29738.313,6.877183204599606,0.7304660216931672,15165.841,-10.861021848095033,11725.257,-19.547956566317552,10858.627,5062.215,3009.964,562.946,132.654,12.732,6.32,7622.578,-4.704624238144864,6010.142,957.928,369.189,257.708,27.589,0.022,5796.6,-23.104148337916182,464.468,-35.38744468603369,table12,2025-10-11
113,103466.103,21.782534158503168,14.760212055400423,87767.814,15.067800378654205,33742.931,7.103839091296553,13.466190903297036,19918.212,31.336020204880167,14275.841,21.752904861701538,11820.231,4248.727,3063.878,550.733,95.584,14.43,37.247,9617.93,26.17686562210318,7891.787,1067.061,307.391,338.463,13.181,0.047,5674.713,-2.1027326363730463,405.646,-12.664381615095119,table12,2025-10-11
114年1-8月,88957.899,22.326865170220202,33.21491312081529,77828.707,38.21272860397497,25722.85,6.455982101643371,20.12435322397749,25781.187,105.02808628215305,11651.104,25.49059480567711,8716.672,2888.239,2577.516,370.45,75.719,8.805,36.165,7099.739,13.48816458754567,5971.68,677.973,222.775,223.5,3.715,0.096,3766.475,-4.53352792587099,262.978,-1.0080705875267264,table12,2025-10-11
