年(月)別,合　計,col_2,資  本  設  備,col_4,col_5,農  工  原  料,col_7,col_8,消    費    品,col_10,col_11,source_table,processing_date
104,236380.483,-15.90744558573068,37216.76,15.744430135545498,-1.4632002910715929,162411.605,68.70770502656093,-21.723735994453886,32205.385,13.624384124809492,1.4709728115866776,table07,2025-10-11
105,229199.459,-3.037909013833431,41108.814,17.93582505794658,10.45779912061125,153100.3,66.79784527763654,-5.7331525047117164,31705.097,13.832972005400762,-1.5534296515939803,table07,2025-10-11
106,257199.59,12.216490877493738,40555.329,15.768037966156944,-1.3463900953211638,178799.274,69.51771346136283,16.78571106653612,34145.483,13.275869918766201,7.697140936045709,table07,2025-10-11
107,284791.673,10.727887629991944,41866.134,14.700617317557596,3.2321399735161807,203222.506,71.35830337286582,13.659581190469487,36179.798,12.70395219736639,5.9577865687241855,table07,2025-10-11
108,285651.45,0.30189681845086813,50759.995,17.769906296642286,21.243568847317025,193906.41,67.88217248678416,-4.584185178781331,37227.232,13.032397349987196,2.8950797348288124,table07,2025-10-11
109,286147.643,0.17370575223756085,52640.885,18.396406990498956,3.705457417795254,191064.413,66.77126919406426,-1.4656539719341923,38630.829,13.500313542683978,3.7703501565735533,table07,2025-10-11
110,381957.539,33.48267873029449,68910.717,18.04146010062129,30.907215940613458,264945.743,69.36523460006899,38.66828408281348,43772.794,11.460120440246108,13.31052201856709,table07,2025-10-11
111,428082.522,12.075945174628428,75470.844,17.629975558777893,9.51974857553724,299705.042,70.0110438052409,13.119402714841883,48210.416,11.261944490226115,10.137854120072847,table07,2025-10-11
112,351631.64,-17.858912258977956,62374.643,17.73863210944271,-17.352662705083834,237062.494,67.41785068033127,-20.90139944992984,46551.658,13.238756899123185,-3.4406631131330627,table07,2025-10-11
113,394365.297,12.152961263667853,69928.909,17.73201382879285,12.111117012725828,266078.547,67.47007128266664,12.239832843402045,47285.864,11.990371455021814,1.577185500030955,table07,2025-10-11
114年1-8月,311543.916,21.680094063303066,67727.02,21.739156671574996,55.281756275649094,208289.053,66.85704400017877,20.41712406236279,31152.152,9.999281128635488,2.426993668640691,table07,2025-10-11
