年(月)別,出　　口,col_2,進　　口,col_4,出（入）超,col_6,source_table,processing_date
104,284433.978,-10.951109063801775,236380.483,-15.90744558573068,48053.495,25.40822235512874,table01,2025-10-11
105,279174.656,-1.849048428384319,229199.459,-3.037909013833431,49975.197,3.9990889320329357,table01,2025-10-11
106,315486.658,13.006912060097603,257199.59,12.216490877493738,58287.068,16.631992466182773,table01,2025-10-11
107,334007.338,5.870511329198587,284791.673,10.727887629991944,49215.665,-15.563320151907453,table01,2025-10-11
108,329157.32,-1.4520692955554169,285651.45,0.30189681845086813,43505.87,-11.601580513033808,table01,2025-10-11
109,345125.944,4.8513652985144,286147.643,0.17370575223756085,58978.301,35.5640077994073,table01,2025-10-11
110,446371.191,29.3357392453811,381957.539,33.48267873029449,64413.652,9.215848723753505,table01,2025-10-11
111,479415.23,7.4028162359608904,428082.522,12.075945174628428,51332.708,-20.30771986037991,table01,2025-10-11
112,432419.962,-9.802623083125665,351631.64,-17.858912258977956,80788.322,57.38176524799744,table01,2025-10-11
113,474995.711,9.845925891830127,394365.297,12.152961263667853,80630.414,-0.19545894269223713,table01,2025-10-11
114年1-8月,398434.345,29.15262506857562,311543.916,21.680094063303066,86890.429,65.62040919799632,table01,2025-10-11
