年(月)別,中華民國,col_2,南　韓,col_4,日　本,col_6,新加坡,col_8,香　港,col_10,中國大陸,col_12,美　國,col_14,德　國,col_16,中華民國.1,col_18,南　韓.1,col_20,日　本.1,col_22,新加坡.1,col_24,香　港.1,col_26,中國大陸.1,col_28,美　國.1,col_30,德　國.1,col_32,source_table,processing_date
105,2791.74656,-1.849048428384319,4954.2594,-5.9,6445.787864248637,3.121446816622931,3380.8197162860847,-5.538855539718952,5166.35,1.2047366719883996,20976.31,-7.734307234586112,14510.10702074,-3.431550672312099,13325.1457,0.6665656874326658,2291.9945900000002,-3.037909013833431,4061.92887,-6.9,6070.197509108739,-6.373631085305936,2919.083771997433,-5.254669926144857,5465.19,-2.1926692688060143,15879.250000000004,-5.45611837357788,22501.538779920003,-2.813773268008859,10566.08158,0.34975675581523546,table14,2025-10-11
106,3154.86658,13.006912060097603,5736.94421,15.8,6972.2050368795335,8.166839860657735,3732.3662988738756,10.398264683985389,5498.64,6.4318135627667345,22633.46,7.900102544251112,15462.74,6.565306361271865,14447.03712,8.41935574483064,2571.9959,12.216490877493738,4784.78296,17.8,6709.706357304873,10.53522306706672,3276.8882726324036,12.25742488336114,5889.120000000001,7.756912385479751,18437.92,16.113292504368886,24084.75,7.036013116991043,11644.05465,10.20220279238086,table14,2025-10-11
107,3340.07338,5.870511329198587,6048.59657,5.4,7378.456899538232,5.826734304424871,4117.595316044503,10.321307886818573,5684.54,3.3808359885353383,24866.96,9.86813328585201,16639.820000000003,7.6123636561178785,15566.26366,7.747100880986736,2847.91673,10.727887629991944,5352.02428,11.9,7481.08525150502,11.496462782761654,3705.03626846048,13.065687939495561,6266.139999999999,6.401975167766977,21357.48,15.834540989439176,26142.23,8.542667040347098,12858.76629,10.432033140620817,table14,2025-10-11
108,3291.5732000000003,-1.4520692955554169,5422.3261,-10.4,7056.820497028801,-4.359128295911858,3903.4107287480906,-5.201691056472384,5348.88,-5.904787370657957,24994.82089188,0.5141798268867745,16431.608,-1.2512875740242606,14868.81711,-4.480500685544726,2856.5145,0.30189681845086813,5033.42947,-6.0,7207.645861203132,-3.655076517766969,3589.8369673032958,-3.1092624419855497,5778.34,-7.784696798986289,20784.089831960002,-2.68472763659382,25674.445,-1.7893844557254681,12362.04907,-3.862868402750948,table14,2025-10-11
109,3451.2594400000003,4.8513652985144,5124.98038,-5.5,6399.4958201366635,-9.314742767920709,3741.8638510228475,-4.138608231398052,5487.74,2.5960574924096136,25899.51607579,3.619530573247303,14249.349191329999,-13.280859722736821,13798.98577,-7.19513416625783,2861.4764299999997,0.17370575223756085,4676.32763,-7.1,6357.070554897319,-11.801014127015264,3290.636163221717,-8.334662738356599,5697.670000000001,-1.3960756895578896,20659.61553773,-0.5988922066656812,24069.31650221,-6.251852757829809,11729.275539999999,-5.118678355157186,table14,2025-10-11
110,4463.71191,29.3357392453811,6444.00368,25.7,7585.724658526727,18.536285853292902,4568.051992551128,22.07958852651575,6699.040000000001,22.07283872778231,33160.22133985,28.03413485724184,17543.003676620003,23.114420462753642,16217.0942,17.523812766421898,3819.57539,33.48267873029449,6150.93447,31.5,7744.211182498428,21.820437819940384,4060.4101450715134,23.392862160006914,7123.570000000001,25.026019407933404,26794.12029284,29.693218365592287,29353.141520339996,21.952534537675163,14127.58093,20.447174097165103,table14,2025-10-11
111,4794.1523,7.4028162359608904,6835.8476,6.1,7515.4020544060395,-0.9270387113463338,5148.736980820273,12.711873446625304,6099.23,-8.953670973751485,35444.34491012,6.888143317442427,20651.569714319998,17.71969096627882,16772.47515,3.4246637723791338,4280.82522,12.075945174628428,7313.69657,18.9,9053.82773985843,16.910909665269436,4752.437094971705,17.04327703791617,6675.530000000001,-6.289543024073609,27065.06863203,1.0112231199559147,33717.51464865,14.86850436531897,15839.244200000001,12.115756253537185,table14,2025-10-11
112,4324.19962,-9.802623083125665,6322.25824,-7.5,7190.857147617436,-4.318397132171171,4753.054105685653,-7.685047354498607,5738.689999999999,-5.911237975941248,33790.43569498,-4.6662146509802795,20180.59284224,-2.2805863118163785,17030.23733,1.5368165860719927,3516.3164,-17.858912258977956,6425.72126,-12.1,7888.957045394157,-12.866057627052754,4223.543532886255,-11.128891377542757,6536.960000000001,-2.075790236880053,25569.412061149997,-5.5261510370233395,31682.36732633,-6.0358758453197225,14677.121720000001,-7.336981899679273,table14,2025-10-11
113,4749.95711,9.845925891830127,6836.09488,8.1,7089.639134508229,-1.4075931565785993,5048.382083161997,6.213436054158734,6397.729622665644,11.484147473824962,35757.94682302001,5.822686471995709,20616.907576010002,2.1620511209995357,16761.87705,-1.575787082704153,3943.65297,12.152961263667853,6317.67209,-1.7,7460.232350974803,-5.434491428365149,4575.186079899762,8.325770630170453,6972.178173445894,6.657806892590628,25832.18073401,1.0276680286257118,33582.471476980005,5.99735534620514,14152.192410000001,-3.5765139787911977,table14,2025-10-11
114年1-8月,3984.3434500000003,29.152625068575617,4539.68,0.900450190866863,4216.721833103289,5.09436590219164,3187.291809218898,10.127670769925203,4173.9522389818985,15.943451967265915,24517.953,5.861368226827395,12519.0104378,4.843808237391187,8592.84764,0.991316631908191,3115.43916,21.680094063303073,4130.0,-1.6074725508136112,4367.3553494148455,2.017120876688992,2805.236501014328,7.029276443862528,4553.30595312634,16.82188208128548,16664.603,-2.1710477561668853,21121.706108390004,10.756230527547288,7456.6215600000005,5.573110011129884,table14,2025-10-11
