年(月)別,季　節　調　整,col_2,col_3,col_4,col_5,col_6,三 個 月 移 動 平 均,col_8,col_9,col_10,col_11,col_12,source_table,processing_date
112,432419.96,-9.8,,351631.64999999997,-17.9,,,,,,,,table13,2025-10-11
113,474995.67100000003,9.8,,394365.22699999996,12.2,,,,,,,,table13,2025-10-11
