年(月)別,"出口物價指數
(美元計價)",col_2,"進口物價指數
(美元計價)",col_4,"OPEC原油
(美元/桶)",col_6,"我國原油進口
(美元/桶)",col_8,LMEX                         基本金屬指數,col_10,"銅
(美元/噸)",col_12,"鎳
(美元/噸)",col_14,source_table,processing_date
105,90.34,-4.32,82.56,-4.69,40.76,-17.639927258031932,41.113114818232745,-23.242827121644417,2659.6,20.72080250556035,5523.0,17.36580390156827,9964.0,13.48519362186788,table15,2025-10-11
106,94.37,4.46,88.68,7.41,52.43,28.631010794896966,53.380965280297914,29.839263009633733,3418.9,28.54940592570312,7207.0,30.49067535759551,12705.5,27.514050582095546,table15,2025-10-11
107,96.66,2.43,94.98,7.1,69.78,33.091741369444975,71.76492239072485,34.43916200071446,2801.1,-18.070139518558605,5949.0,-17.45525183849036,10604.5,-16.536145763645667,table15,2025-10-11
108,91.6,-5.23,91.28,-3.9,64.04,-8.225852679850952,66.03617370173826,-7.982658516365908,2843.3,1.506550997822294,6149.0,3.361909564632711,13950.0,31.547927766514217,table15,2025-10-11
109,88.94,-2.9,85.75,-6.06,41.47,-35.24359775140538,47.1413980774536,-28.612765648151573,3414.5,20.089332817500782,7749.0,26.020491136770207,16553.5,18.663082437275985,table15,2025-10-11
110,100.0,12.44,100.0,16.62,69.89,68.52590443961,70.36667517828023,49.267264120311744,4502.0,31.849465514716652,9740.63,25.70176797006064,20880.5,26.139487117528017,table15,2025-10-11
111,105.37,5.37,109.12,9.12,100.08,43.19645156674775,103.08875968838827,46.50224616582172,3983.8,-11.510439804531316,8364.76,-14.125061725986916,29886.0,43.12875649529465,table15,2025-10-11
112,98.8,-6.24,100.6,-7.81,82.95,-17.116306954436446,85.86081601513018,-16.711757640051044,3762.1,-5.565038405542453,8463.92,1.1854494330978995,16375.0,-45.20845881014522,table15,2025-10-11
113,97.92,-0.89,97.82,-2.76,79.89,-3.688969258589515,83.82151109919927,-2.375128738086469,3905.6,3.8143590016214346,8652.67,2.230054159302073,15110.95,-7.7193893129770945,table15,2025-10-11
114年1-8月,97.53,-0.63,95.93,-2.47,71.6525,-13.705476771143838,74.65947108286412,-13.353432834833326,4246.0,5.317987895624568,9821.74,7.71648603772261,15246.78,-7.811719635232193,table15,2025-10-11
