年(月)別,積體電路(IC),col_2,col_3,col_4,印刷電路,col_6,發光二極體,col_8,電容器及電阻器,col_10,電腦及其附屬單元,col_12,電腦之零附件,col_14,交換器及路由器,col_16,儲存媒體,col_18,液晶製平面顯示模組,col_20,金屬加工工具機,col_22,生產半導體等機械,col_24,鏡頭,col_26,石油煉製品,col_28,col_29,col_30,col_31,col_32,source_table,processing_date
104,70038.559,-3.6908213195451247,5374.311,-27.47111934575016,5480.541,-5.730730588682715,2441.687,-15.644144013421279,1655.267,-10.21204439962702,3449.832,-7.412065358992981,5118.804,-10.719541884236888,1765.754,10.062799387900755,5584.974,-15.865910274831272,4482.3,-21.961195268330535,3205.412,-15.001376243856622,1488.387,2.0050989288137453,1976.712,21.92886631577454,10322.034,-47.96226192510765,5931.976,-45.08115098226629,2062.46,-40.769412357994604,table04,2025-10-11
105,78171.768,11.612473352000288,5241.307,-2.474810259398833,4925.778,-10.122413097539093,2034.771,-16.665362923257568,1834.633,10.836076596706151,4164.962,20.72941522949523,4585.042,-10.427474855454516,2023.174,14.578474691265034,5524.913,-1.0754033948949449,3903.956,-12.902840059790732,2896.928,-9.623848665943722,1726.925,16.026611358470614,1825.242,-7.662724767189151,9480.366,-8.15409056005822,5724.799,-3.49254615999795,1845.143,-10.536786167974167,table04,2025-10-11
106,92307.834,18.08333924339539,5763.532,9.963640748385851,5544.639,12.563720898505778,2023.828,-0.5378000767653952,2099.045,14.412255748152356,4824.084,15.825402488666162,5927.814,29.285925843209288,2741.505,35.505151806023605,5667.545,2.5816153123135153,6740.273,72.65238132806824,3339.597,15.280635210816424,2809.033,62.6609725378925,2076.109,13.744314452549306,10406.734,9.771437094306275,5685.474,-0.6869236806392678,2027.113,9.862108248520576,table04,2025-10-11
107,95906.955,3.899041764970891,6594.437,14.416593852519602,5590.973,0.8356540434823619,1716.484,-15.186270770045676,3191.448,52.04285758523519,5573.7,15.539032902412147,7398.176,24.80445574034543,2933.55,7.00509391739209,6974.276,23.056385083841416,6297.18,-6.573813849973139,3655.258,9.45206861786018,3132.727,11.523324930678992,2049.541,-1.279701595629131,13143.593,26.29892337019472,7428.819,30.66314259813694,2274.814,12.21939773461075,table04,2025-10-11
108,100316.857,4.598104485748713,6241.637,-5.349963916555727,5284.207,-5.486808825583669,1363.594,-20.558886654346907,2199.405,-31.08441685404243,8814.849,58.15076161257333,10100.113,36.52166425886597,4646.477,58.390925670262995,7679.089,10.105894862778587,5719.747,-9.169707710435466,3065.801,-16.126276175306913,3224.206,2.9201076250819176,2351.352,14.725784944043568,12210.584,-7.098584078189274,6801.002,-8.451101043113313,1891.605,-16.845728925529734,table04,2025-10-11
109,122387.433,22.000864720073913,6983.962,11.893113937898022,5613.333,6.228484236139878,1396.23,2.3933810210370536,2713.739,23.38514279998454,10545.247,19.630489416211212,11752.686,16.361925851720667,5845.684,25.8089515992439,9241.835,20.35066920047417,5941.785,3.881954918635387,2154.935,-29.710538942351445,3522.499,9.251673125104288,2325.094,-1.1167192321694073,5743.114,-52.96609891877407,3127.022,-54.02115747061978,681.065,-63.99539015809326,table04,2025-10-11
110,155496.056,27.05230609747326,8178.865,17.109242576062126,6608.707,17.732316967477253,2162.138,54.85543212794454,3528.626,30.028200943421602,11986.613,13.66839487021973,17271.27,46.95593841271689,6911.453,18.23172446543467,10649.631,15.232862304942687,7252.789,22.06414402406011,2783.15,29.15238742699896,4832.71,37.195496719800346,2252.941,-3.1032293748123734,9692.163,68.76145937552344,4997.806,59.82637794041743,1893.982,178.09122477296586,table04,2025-10-11
111,184136.492,18.4187539779144,11688.575,42.911944383481085,7052.749,6.719045041639764,1781.382,-17.610161793558042,3146.334,-10.83401868035887,17280.957,44.16880731863121,17029.982,-1.397048393082848,8622.196,24.752291594835413,8865.065,-16.75706885994454,4338.194,-40.18585126356219,3023.26,8.627274850439251,5069.843,4.906832812231646,2182.644,-3.120232620383756,16723.607,72.54772747837609,9362.536,87.33292168603583,2930.381,54.72063620456794,table04,2025-10-11
112,166621.215,-9.51211615348901,9977.427,-14.639491982555617,4988.159,-29.27354993067242,1236.494,-30.587936781667267,2568.699,-18.35898540968632,38682.302,123.84351746260349,14117.731,-17.10072858562035,8800.647,2.069669954150892,7230.848,-18.434348761120194,4393.167,1.267186299183485,2601.885,-13.93776916308885,4760.835,-6.095021088424237,2060.731,-5.585565030302697,12637.859,-24.431021369971205,7292.268,-22.112256764620184,2074.106,-29.22060305468811,table04,2025-10-11
113,165042.202,-0.9476662380597812,8387.02,-15.940051478201745,4927.394,-1.218184905493189,1190.88,-3.6889786768071664,2728.195,6.209213302142446,84585.153,118.66628568279106,14383.193,1.8803446531174166,8289.367,-5.8095728643587226,8765.092,21.218036943937975,4753.114,8.193337517103265,2217.799,-14.76183613034396,4948.714,3.9463455465270276,2424.154,17.635635121711665,12304.698,-2.636213934654596,6465.209,-11.34158810400276,2159.212,4.1032618390766915,table04,2025-10-11
114年1-8月,129017.508,26.93837796046662,10361.754,103.1336491174004,3393.686,4.558449236859124,728.936,-7.898201519749925,1988.581,11.470294110392858,102726.541,78.43307246511289,22274.355,142.28594681237095,6862.978,36.53423552718538,5691.702,-1.3180760178406563,3422.931,10.111055816782832,1351.391,-7.668284110831593,3363.231,3.0928489191167543,1633.45,7.901954515308213,8034.857,-4.167391238489446,4213.32,-5.938611354823154,1492.252,-1.3554069526083519,table04,2025-10-11
